ts_server,session_id,campaign_id,point_id,x_m,y_m,z_m,anchor_id,sample_index,rssi,channel,ts_us,addr1,addr2,addr3
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,1,-89,12,565549663,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,2,-82,13,565588519,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,3,-77,3,566886738,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,4,-76,3,566904723,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,5,-92,7,568459771,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,6,-89,7,568477791,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,7,-90,11,570031836,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,8,-89,11,570049839,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,9,-74,1,571368588,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,10,-88,5,572958923,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,11,-91,9,574513990,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:33.665625-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,12,-93,9,574531965,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:56.900861-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,13,-87,13,613572320,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:56.900861-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,14,-84,13,613588212,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:56.900861-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,15,-79,3,614888251,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:56.900861-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,16,-77,3,614906254,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:56.900861-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,17,-89,7,616479289,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:56.900861-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,18,-88,11,618052365,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:56.900861-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,19,-73,1,619370102,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:28:56.900861-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A3,20,-80,5,620924447,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:29:29.499918-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A2,1,-71,6,666565369,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:29:29.499918-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A2,2,-70,6,666583344,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:29:29.499918-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A2,3,-84,10,668156372,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:29:29.499918-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A2,4,-89,10,668175369,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:29:29.499918-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A2,5,-75,4,671028348,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:29:29.499918-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A2,6,-72,4,671046345,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-15T18:29:29.499918-03:00,demo_s1,train_01,P01,0.6,3.0,0.5,A2,7,-73,4,671065374,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
