ts_server,session_id,campaign_id,point_id,x_m,y_m,z_m,anchor_id,sample_index,rssi,channel,ts_us,addr1,addr2,addr3
2026-03-23T15:59:55.145914-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A2,1,-76,9,336807913,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:55.145914-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A2,2,-74,9,336826809,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:55.145914-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A2,3,-75,9,336845095,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:55.145914-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A2,4,-83,12,338345802,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:55.145914-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A2,5,-77,12,338363806,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:55.145914-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A2,6,-79,13,338382817,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:55.145914-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A2,7,-77,13,338400817,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:55.145914-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A2,8,-74,3,339700818,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:55.145914-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A2,9,-72,3,339715814,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:55.145914-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A2,10,-73,3,339733817,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:57.687505-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A4,1,-63,8,321897359,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:57.687505-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A4,2,-57,8,321915537,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
2026-03-23T15:59:57.687505-03:00,demo_s4,train_04,P01,0.6,3.0,1.0,A4,3,-56,8,321934382,ff:ff:ff:ff:ff:ff,02:11:22:33:44:55,ff:ff:ff:ff:ff:ff
